surrogate_key,mobility_id,Metro_area,Subregion_1,Subregion_2,Date,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
0,47589,,Ontario,Ottawa,2020-09-01,ON,-18.0,-4.0,47.0,-59.0,-57.0,16.0
1,47590,,Ontario,Ottawa,2020-09-02,ON,-22.0,-6.0,8.0,-62.0,-57.0,17.0
2,47591,,Ontario,Ottawa,2020-09-03,ON,-13.0,2.0,77.0,-56.0,-56.0,15.0
3,47592,,Ontario,Ottawa,2020-09-04,ON,-22.0,-5.0,61.0,-54.0,-53.0,14.0
4,47593,,Ontario,Ottawa,2020-09-05,ON,-18.0,-5.0,,-40.0,-4.0,1.0
5,47594,,Ontario,Ottawa,2020-09-06,ON,-3.0,9.0,,-39.0,4.0,-2.0
6,47595,,Ontario,Ottawa,2020-09-07,ON,-57.0,-55.0,29.0,-77.0,-84.0,21.0
7,47596,,Ontario,Ottawa,2020-09-08,ON,-17.0,6.0,13.0,-58.0,-58.0,16.0
8,47597,,Ontario,Ottawa,2020-09-09,ON,-24.0,-7.0,2.0,-61.0,-57.0,18.0
9,47598,,Ontario,Ottawa,2020-09-10,ON,-18.0,-1.0,21.0,-58.0,-56.0,17.0
10,47599,,Ontario,Ottawa,2020-09-11,ON,-24.0,-9.0,78.0,-53.0,-52.0,15.0
11,47600,,Ontario,Ottawa,2020-09-12,ON,-15.0,-3.0,175.0,-36.0,0.0,2.0
12,47601,,Ontario,Ottawa,2020-09-13,ON,-17.0,-3.0,37.0,-46.0,-2.0,4.0
13,47602,,Ontario,Ottawa,2020-09-14,ON,-19.0,-6.0,57.0,-59.0,-55.0,16.0
14,47603,,Ontario,Ottawa,2020-09-15,ON,-21.0,-8.0,24.0,-59.0,-53.0,17.0
15,47604,,Ontario,Ottawa,2020-09-16,ON,-22.0,-9.0,58.0,-59.0,-54.0,16.0
16,47605,,Ontario,Ottawa,2020-09-17,ON,-19.0,-4.0,42.0,-58.0,-54.0,17.0
17,47606,,Ontario,Ottawa,2020-09-18,ON,-26.0,-11.0,42.0,-56.0,-50.0,16.0
18,47607,,Ontario,Ottawa,2020-09-19,ON,-18.0,-4.0,113.0,-42.0,-1.0,3.0
19,47608,,Ontario,Ottawa,2020-09-20,ON,-13.0,1.0,131.0,-46.0,3.0,1.0
20,47609,,Ontario,Ottawa,2020-09-21,ON,-22.0,-8.0,51.0,-61.0,-57.0,16.0
21,47610,,Ontario,Ottawa,2020-09-22,ON,-25.0,-8.0,32.0,-60.0,-54.0,17.0
22,47611,,Ontario,Ottawa,2020-09-23,ON,-26.0,-9.0,41.0,-62.0,-53.0,17.0
23,47612,,Ontario,Ottawa,2020-09-24,ON,-25.0,-7.0,9.0,-62.0,-53.0,18.0
24,47613,,Ontario,Ottawa,2020-09-25,ON,-29.0,-10.0,39.0,-58.0,-49.0,16.0
25,47614,,Ontario,Ottawa,2020-09-26,ON,-21.0,-6.0,131.0,-46.0,0.0,3.0
26,47615,,Ontario,Ottawa,2020-09-27,ON,-17.0,-1.0,117.0,-47.0,4.0,1.0
27,47616,,Ontario,Ottawa,2020-09-28,ON,-25.0,-8.0,47.0,-63.0,-55.0,17.0
28,47617,,Ontario,Ottawa,2020-09-29,ON,-28.0,-9.0,-6.0,-64.0,-54.0,18.0
29,47618,,Ontario,Ottawa,2020-09-30,ON,-27.0,-6.0,-14.0,-65.0,-54.0,19.0
30,47619,,Ontario,Ottawa,2020-10-01,ON,-23.0,-2.0,9.0,-61.0,-52.0,18.0
