surrogate_key,date_id,date,day,month,day_of_week,week_in_year,weekend,holiday,season
0,10836,2020-09-01,1,9,3,36,No,No,winter
1,10837,2020-09-02,2,9,4,36,No,No,winter
2,10838,2020-09-03,3,9,5,36,No,No,winter
3,10839,2020-09-04,4,9,6,36,No,No,winter
4,10840,2020-09-05,5,9,7,36,Yes,No,winter
5,10841,2020-09-06,6,9,1,36,Yes,No,winter
6,10842,2020-09-07,7,9,2,37,No,Yes,winter
7,10843,2020-09-08,8,9,3,37,No,No,winter
8,10844,2020-09-09,9,9,4,37,No,No,winter
9,10845,2020-09-10,10,9,5,37,No,No,winter
10,10846,2020-09-11,11,9,6,37,No,No,winter
11,10847,2020-09-12,12,9,7,37,Yes,No,winter
12,10848,2020-09-13,13,9,1,37,Yes,No,winter
13,10849,2020-09-14,14,9,2,38,No,No,winter
14,10850,2020-09-15,15,9,3,38,No,No,winter
15,10851,2020-09-16,16,9,4,38,No,No,winter
16,10852,2020-09-17,17,9,5,38,No,No,winter
17,10853,2020-09-18,18,9,6,38,No,No,winter
18,10854,2020-09-19,19,9,7,38,Yes,No,winter
19,10855,2020-09-20,20,9,1,38,Yes,No,winter
20,10856,2020-09-21,21,9,2,39,No,No,winter
21,10857,2020-09-22,22,9,3,39,No,No,winter
22,10858,2020-09-23,23,9,4,39,No,No,winter
23,10859,2020-09-24,24,9,5,39,No,No,winter
24,10860,2020-09-25,25,9,6,39,No,No,winter
25,10861,2020-09-26,26,9,7,39,Yes,No,winter
26,10862,2020-09-27,27,9,1,39,Yes,No,winter
27,10863,2020-09-28,28,9,2,40,No,No,winter
28,10864,2020-09-29,29,9,3,40,No,No,winter
29,10865,2020-09-30,30,9,4,40,No,No,winter
30,10866,2020-10-01,1,10,5,40,No,No,winter
31,10867,2020-10-02,2,10,6,40,No,No,winter
32,10868,2020-10-03,3,10,7,40,Yes,No,winter
33,10869,2020-10-04,4,10,1,40,Yes,No,winter
34,10870,2020-10-05,5,10,2,41,No,No,winter
35,10871,2020-10-06,6,10,3,41,No,No,winter
36,10872,2020-10-07,7,10,4,41,No,No,winter
37,10873,2020-10-08,8,10,5,41,No,No,winter
38,10874,2020-10-09,9,10,6,41,No,No,winter
39,10875,2020-10-10,10,10,7,41,Yes,No,winter
40,10876,2020-10-11,11,10,1,41,Yes,No,winter
41,10877,2020-10-12,12,10,2,42,No,Yes,winter
42,10878,2020-10-13,13,10,3,42,No,No,winter
43,10879,2020-10-14,14,10,4,42,No,No,winter
44,10880,2020-10-15,15,10,5,42,No,No,winter
45,10881,2020-10-16,16,10,6,42,No,No,winter
46,10882,2020-10-17,17,10,7,42,Yes,No,winter
47,10883,2020-10-18,18,10,1,42,Yes,No,winter
48,10884,2020-10-19,19,10,2,43,No,No,winter
49,10885,2020-10-20,20,10,3,43,No,No,winter
50,10886,2020-10-21,21,10,4,43,No,No,winter
51,10887,2020-10-22,22,10,5,43,No,No,winter
52,10888,2020-10-23,23,10,6,43,No,No,winter
53,10889,2020-10-24,24,10,7,43,Yes,No,winter
54,10890,2020-10-25,25,10,1,43,Yes,No,winter
55,10891,2020-10-26,26,10,2,44,No,No,winter
56,10892,2020-10-27,27,10,3,44,No,No,winter
57,10893,2020-10-28,28,10,4,44,No,No,winter
58,10894,2020-10-29,29,10,5,44,No,No,winter
59,10895,2020-10-30,30,10,6,44,No,No,winter
60,10896,2020-10-31,31,10,7,44,Yes,Yes,winter
61,10897,2020-11-01,1,11,1,44,Yes,No,winter
62,10898,2020-11-02,2,11,2,45,No,No,winter
63,10899,2020-11-03,3,11,3,45,No,No,winter
64,10900,2020-11-04,4,11,4,45,No,No,winter
65,10901,2020-11-05,5,11,5,45,No,No,winter
66,10902,2020-11-06,6,11,6,45,No,No,winter
67,10903,2020-11-07,7,11,7,45,Yes,No,winter
68,10904,2020-11-08,8,11,1,45,Yes,No,winter
69,10905,2020-11-09,9,11,2,46,No,No,winter
70,10906,2020-11-10,10,11,3,46,No,No,winter
71,10907,2020-11-11,11,11,4,46,No,Yes,winter
72,10908,2020-11-12,12,11,5,46,No,No,winter
73,10909,2020-11-13,13,11,6,46,No,No,winter
74,10910,2020-11-14,14,11,7,46,Yes,No,winter
75,10911,2020-11-15,15,11,1,46,Yes,No,winter
76,10912,2020-11-16,16,11,2,47,No,No,winter
77,10913,2020-11-17,17,11,3,47,No,No,winter
78,10914,2020-11-18,18,11,4,47,No,No,winter
79,10915,2020-11-19,19,11,5,47,No,No,winter
80,10916,2020-11-20,20,11,6,47,No,No,winter
81,10917,2020-11-21,21,11,7,47,Yes,No,winter
82,10918,2020-11-22,22,11,1,47,Yes,No,winter
83,10919,2020-11-23,23,11,2,48,No,No,winter
84,10920,2020-11-24,24,11,3,48,No,No,winter
85,10921,2020-11-25,25,11,4,48,No,No,winter
86,10922,2020-11-26,26,11,5,48,No,No,winter
87,10923,2020-11-27,27,11,6,48,No,No,winter
88,10924,2020-11-28,28,11,7,48,Yes,No,winter
89,10925,2020-11-29,29,11,1,48,Yes,No,winter
90,10926,2020-11-30,30,11,2,49,No,No,winter
91,10927,2020-12-01,1,12,3,49,No,No,winter
92,10928,2020-12-02,2,12,4,49,No,No,winter
93,10929,2020-12-03,3,12,5,49,No,No,winter
94,10930,2020-12-04,4,12,6,49,No,No,winter
95,10931,2020-12-05,5,12,7,49,Yes,No,winter
96,10932,2020-12-06,6,12,1,49,Yes,No,winter
97,10933,2020-12-07,7,12,2,50,No,No,winter
98,10934,2020-12-08,8,12,3,50,No,No,winter
99,10935,2020-12-09,9,12,4,50,No,No,winter
100,10936,2020-12-10,10,12,5,50,No,No,winter
101,10937,2020-12-11,11,12,6,50,No,No,winter
102,10938,2020-12-12,12,12,7,50,Yes,No,winter
103,10939,2020-12-13,13,12,1,50,Yes,No,winter
104,10940,2020-12-14,14,12,2,51,No,No,winter
105,10941,2020-12-15,15,12,3,51,No,No,winter
106,10942,2020-12-16,16,12,4,51,No,No,winter
107,10943,2020-12-17,17,12,5,51,No,No,winter
108,10944,2020-12-18,18,12,6,51,No,No,winter
109,10945,2020-12-19,19,12,7,51,Yes,No,winter
110,10946,2020-12-20,20,12,1,51,Yes,No,winter
111,10947,2020-12-21,21,12,2,52,No,No,winter
112,10948,2020-12-22,22,12,3,52,No,No,winter
113,10949,2020-12-23,23,12,4,52,No,No,winter
114,10950,2020-12-24,24,12,5,52,No,No,winter
115,10951,2020-12-25,25,12,6,52,No,Yes,winter
116,10952,2020-12-26,26,12,7,52,Yes,Yes,winter
117,10953,2020-12-27,27,12,1,52,Yes,No,winter
118,10954,2020-12-28,28,12,2,53,No,No,winter
119,10955,2020-12-29,29,12,3,53,No,No,winter
120,10956,2020-12-30,30,12,4,53,No,No,winter
121,10957,2020-12-31,31,12,5,53,No,No,winter
