"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.46","51.26","YORKTON","4019073","2020-01-01","2020","01","01","","-0.9","","-10.4","","-5.6","","23.6","","0.0","","","","","","0.1","","3","","31","","34",""
"-102.46","51.26","YORKTON","4019073","2020-01-02","2020","01","02","","-2.1","","-6.0","","-4.1","","22.1","","0.0","","","","","","0.1","","5","","","","",""
"-102.46","51.26","YORKTON","4019073","2020-01-03","2020","01","03","","-2.3","","-9.3","","-5.8","","23.8","","0.0","","","","","","0.0","","4","","","","",""
"-102.46","51.26","YORKTON","4019073","2020-01-04","2020","01","04","","-1.3","","-9.0","","-5.2","","23.2","","0.0","","","","","","0.0","","4","","31","","68",""
"-102.46","51.26","YORKTON","4019073","2020-01-05","2020","01","05","","-3.1","","-12.4","","-7.7","","25.7","","0.0","","","","","","0.0","","4","","31","","61",""
"-102.46","51.26","YORKTON","4019073","2020-01-06","2020","01","06","","-2.9","","-17.4","","-10.1","","28.1","","0.0","","","","","","0.0","","4","","29","","65",""
"-102.46","51.26","YORKTON","4019073","2020-01-07","2020","01","07","","-17.4","","-28.0","","-22.7","","40.7","","0.0","","","","","","0.0","","4","","31","","39",""
"-102.46","51.26","YORKTON","4019073","2020-01-08","2020","01","08","","-14.8","","-27.9","","-21.3","","39.3","","0.0","","","","","","2.0","","4","","13","","55",""
"-102.46","51.26","YORKTON","4019073","2020-01-09","2020","01","09","","-15.0","","-24.1","","-19.6","","37.6","","0.0","","","","","","2.8","","4","","30","","40",""
"-102.46","51.26","YORKTON","4019073","2020-01-10","2020","01","10","","-22.6","","-28.4","","-25.5","","43.5","","0.0","","","","","","0.0","","9","","30","","38",""
"-102.46","51.26","YORKTON","4019073","2020-01-11","2020","01","11","","-14.7","","-25.4","","-20.0","","38.0","","0.0","","","","","","0.7","","11","","14","","57",""
"-102.46","51.26","YORKTON","4019073","2020-01-12","2020","01","12","","-12.6","","-17.0","","-14.8","","32.8","","0.0","","","","","","1.6","","20","","15","","39",""
