surrogate_key,Weather_ID,City,Date,Daily_high_temperature,Daily_low_temperature,Rain_mm,Snow_cm
0,6105976,Ottawa,2020-09-01,25.0,13.0,0.0,0.0
1,6105976,Ottawa,2020-09-02,27.0,19.5,7.0,0.0
2,6105976,Ottawa,2020-09-03,24.5,14.0,2.0,0.0
3,6105976,Ottawa,2020-09-04,21.0,12.0,0.4,0.0
4,6105976,Ottawa,2020-09-05,21.0,9.0,2.4,0.0
5,6105976,Ottawa,2020-09-06,20.5,8.5,0.0,0.0
6,6105976,Ottawa,2020-09-07,25.0,11.0,1.0,0.0
7,6105976,Ottawa,2020-09-08,19.0,10.0,3.2,0.0
8,6105976,Ottawa,2020-09-09,16.0,12.5,3.2,0.0
9,6105976,Ottawa,2020-09-10,15.5,12.0,0.0,0.0
10,6105976,Ottawa,2020-09-11,17.5,8.5,0.0,0.0
11,6105976,Ottawa,2020-09-12,21.0,5.0,1.4,0.0
12,6105976,Ottawa,2020-09-13,22.0,14.5,6.4,0.0
13,6105976,Ottawa,2020-09-14,15.0,9.5,0.0,0.0
14,6105976,Ottawa,2020-09-15,16.5,2.5,0.0,0.0
15,6105976,Ottawa,2020-09-16,22.5,8.0,0.0,0.0
16,6105976,Ottawa,2020-09-17,14.5,9.5,0.0,0.0
17,6105976,Ottawa,2020-09-18,14.0,3.0,0.0,0.0
18,6105976,Ottawa,2020-09-19,13.5,1.5,0.0,0.0
19,6105976,Ottawa,2020-09-20,16.0,4.0,0.0,0.0
20,6105976,Ottawa,2020-09-21,18.0,1.0,0.0,0.0
21,6105976,Ottawa,2020-09-22,19.5,2.0,0.0,0.0
22,6105976,Ottawa,2020-09-23,24.0,12.0,0.0,0.0
23,6105976,Ottawa,2020-09-24,17.5,13.5,0.0,0.0
24,6105976,Ottawa,2020-09-25,18.0,10.5,0.0,0.0
25,6105976,Ottawa,2020-09-26,26.0,8.0,0.0,0.0
26,6105976,Ottawa,2020-09-27,26.0,16.0,0.0,0.0
27,6105976,Ottawa,2020-09-28,27.5,14.5,9.2,0.0
28,6105976,Ottawa,2020-09-29,19.0,15.5,12.6,0.0
29,6105976,Ottawa,2020-09-30,17.0,10.5,3.6,0.0
30,6105976,Ottawa,2020-10-01,19.0,9.5,0.6,0.0
