suroggate_key,place_id,Metro_area,Subregion_1,Subregion_2,Date,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
0,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-01,ON,-18.0,-4.0,47.0,-59.0,-57.0,16.0
1,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-02,ON,-22.0,-6.0,8.0,-62.0,-57.0,17.0
2,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-03,ON,-13.0,2.0,77.0,-56.0,-56.0,15.0
3,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-04,ON,-22.0,-5.0,61.0,-54.0,-53.0,14.0
4,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-05,ON,-18.0,-5.0,,-40.0,-4.0,1.0
5,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-06,ON,-3.0,9.0,,-39.0,4.0,-2.0
6,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-07,ON,-57.0,-55.0,29.0,-77.0,-84.0,21.0
7,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-08,ON,-17.0,6.0,13.0,-58.0,-58.0,16.0
8,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-09,ON,-24.0,-7.0,2.0,-61.0,-57.0,18.0
9,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-10,ON,-18.0,-1.0,21.0,-58.0,-56.0,17.0
10,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-11,ON,-24.0,-9.0,78.0,-53.0,-52.0,15.0
11,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-12,ON,-15.0,-3.0,175.0,-36.0,0.0,2.0
12,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-13,ON,-17.0,-3.0,37.0,-46.0,-2.0,4.0
13,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-14,ON,-19.0,-6.0,57.0,-59.0,-55.0,16.0
14,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-15,ON,-21.0,-8.0,24.0,-59.0,-53.0,17.0
15,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-16,ON,-22.0,-9.0,58.0,-59.0,-54.0,16.0
16,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-17,ON,-19.0,-4.0,42.0,-58.0,-54.0,17.0
17,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-18,ON,-26.0,-11.0,42.0,-56.0,-50.0,16.0
18,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-19,ON,-18.0,-4.0,113.0,-42.0,-1.0,3.0
19,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-20,ON,-13.0,1.0,131.0,-46.0,3.0,1.0
20,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-21,ON,-22.0,-8.0,51.0,-61.0,-57.0,16.0
21,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-22,ON,-25.0,-8.0,32.0,-60.0,-54.0,17.0
22,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-23,ON,-26.0,-9.0,41.0,-62.0,-53.0,17.0
23,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-24,ON,-25.0,-7.0,9.0,-62.0,-53.0,18.0
24,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-25,ON,-29.0,-10.0,39.0,-58.0,-49.0,16.0
25,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-26,ON,-21.0,-6.0,131.0,-46.0,0.0,3.0
26,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-27,ON,-17.0,-1.0,117.0,-47.0,4.0,1.0
27,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-28,ON,-25.0,-8.0,47.0,-63.0,-55.0,17.0
28,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-29,ON,-28.0,-9.0,-6.0,-64.0,-54.0,18.0
29,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-09-30,ON,-27.0,-6.0,-14.0,-65.0,-54.0,19.0
30,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-01,ON,-23.0,-2.0,9.0,-61.0,-52.0,18.0
31,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-02,ON,-33.0,-12.0,-8.0,-62.0,-49.0,19.0
32,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-03,ON,-22.0,-3.0,78.0,-47.0,-3.0,5.0
33,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-04,ON,-20.0,0.0,50.0,-53.0,-1.0,4.0
34,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-05,ON,-27.0,-7.0,6.0,-65.0,-56.0,18.0
35,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-06,ON,-28.0,-6.0,-4.0,-64.0,-53.0,18.0
36,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-07,ON,-32.0,-9.0,-26.0,-68.0,-53.0,19.0
37,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-08,ON,-24.0,3.0,5.0,-61.0,-52.0,18.0
38,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-09,ON,-29.0,0.0,19.0,-57.0,-50.0,17.0
39,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-10,ON,-29.0,1.0,89.0,-49.0,-4.0,6.0
40,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-11,ON,-27.0,4.0,96.0,-51.0,0.0,3.0
41,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-12,ON,-70.0,-62.0,42.0,-81.0,-84.0,24.0
42,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-13,ON,-34.0,-7.0,-28.0,-65.0,-55.0,20.0
43,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-14,ON,-31.0,-6.0,23.0,-63.0,-53.0,19.0
44,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-15,ON,-33.0,-9.0,-25.0,-64.0,-54.0,21.0
45,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-16,ON,-35.0,-8.0,-3.0,-61.0,-50.0,20.0
46,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-17,ON,-25.0,-2.0,107.0,-46.0,-7.0,6.0
47,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-18,ON,-25.0,-1.0,55.0,-52.0,-6.0,6.0
48,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-19,ON,-34.0,-12.0,-19.0,-66.0,-57.0,20.0
49,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-20,ON,-31.0,-7.0,0.0,-63.0,-54.0,19.0
50,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-21,ON,-36.0,-13.0,-25.0,-67.0,-54.0,21.0
51,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-22,ON,-30.0,-4.0,0.0,-61.0,-53.0,19.0
52,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-23,ON,-30.0,-8.0,76.0,-56.0,-48.0,17.0
53,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-24,ON,-27.0,-1.0,38.0,-49.0,-8.0,7.0
54,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-25,ON,-23.0,1.0,60.0,-51.0,-4.0,5.0
55,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-26,ON,-35.0,-13.0,-31.0,-66.0,-56.0,20.0
56,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-27,ON,-31.0,-5.0,-15.0,-63.0,-53.0,19.0
57,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-28,ON,-31.0,-6.0,-9.0,-63.0,-52.0,19.0
58,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-29,ON,-28.0,-2.0,-21.0,-63.0,-52.0,19.0
59,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-30,ON,-32.0,-3.0,-2.0,-59.0,-48.0,19.0
60,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-10-31,ON,-26.0,3.0,51.0,-47.0,-6.0,6.0
61,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-11-01,ON,-29.0,-3.0,-21.0,-56.0,-9.0,6.0
62,ChIJmcB2guBn0UwRr0RW_iic0LY,,Ontario,Ottawa,2020-11-02,ON,-35.0,-12.0,-29.0,-67.0,-55.0,19.0
